Field-season	Species	Collection-Date	Plot	Sex	Weight	Notes
2013	DM	7/16/13	2	F	null	null
2013	DM	7/16/13	7	M	33	null
2013	DM	7/16/13	3	M	null	null
2013	DM	7/16/13	1	M	null	null
2013	DM	7/18/13	3	M	40	null
2013	DM	7/18/13	7	M	48	null
2013	DM	7/18/13	4	F	29	null
2013	DM	7/18/13	6	F	37	null
2013	DO	8/19/13	8	F	52	null
2013	DO	10/17/13	3	F	33	null
2013	DO	10/17/13	3	F	50	null
2013	DO	12/10/13	9	F	40	null
2013	DO	12/10/13	1	M	45	null
2013	DO	12/11/13	8	F	41	null
2013	DS	11/12/13	9	F	117	null
2013	DS	11/13/13	11	F	126	null
2013	DS	11/13/13	17	M	132	scale not calibrated
2013	DS	11/13/13	14	F	113	scale not calibrated
2013	DS	11/13/13	11	F	122	null
2013	DS	11/13/13	4	F	107	null
2013	DS	11/13/13	4	F	115	null
2014	DM	1/9/14	1	M	40	null
2014	DM	1/9/14	1	F	36	null
2014	DM	3/13/14	1	F	51	null
2014	DM	3/13/14	1	F	44	null
2014	DS	3/13/14	1	F	146	null
2014	NA	1/8/14	2	null	null	null
2014	DM	1/8/14	2	M	44	null
2014	PF	1/8/14	2	F	7	null
2014	DM	1/8/14	2	M	45	null
2014	OT	1/8/14	2	null	null	null
2014	DS	1/8/14	2	M	157	measurement device not calibrated
2014	OX	1/8/14	2	null	null	null
2014	NA	2/18/14	2	M	218	measurement device not calibrated
2014	PF	2/18/14	2	F	7	null
2014	DM	2/18/14	2	M	52	null
2014	PF	3/11/15	3	M	8	null
2014	NA	4/8/15	3	F	null	null
2014	null	5/6/15	3	null	null	null
2014	NA	5/18/15	3	F	182	null
2014	OT	6/9/15	3	F	29	null
2014	NA	7/8/15	3	F	115	null
2014	NA	7/8/15	3	M	190	null
2014	DM	1/8/78	4	F	37	null
2014	DM	1/8/78	4	M	null	null
2014	DM	1/8/78	4	F	48	null
2014	DO	1/8/78	4	M	52	null
2014	OL	1/8/78	4	M	35	null
